song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Fire Sign,Cory,,,,,,,,,,,,,,,,,,,
Try It On,Exile,,,,,,,,,,,,,,,,,,,"I've been trying to tell you\nBut you just won't learn\nWhen you get down to trying it on\nYou get your fingers burned\nYou've been trying to tell me\nThat you know the game\nOh, but love ain't a game to play\nAin't that a shame, shame, shame\nWell, you got the wrong impression\nHow to handle me\nCause it ain't quite as simple\nAs it seems to be\nYou gotta try it on\nBefore you take it home\nCause if you find it don't fit\nWell, that's it\nYou gotta try it on (try it on)\nBefore you take it home\n(Take it home)\nCause if you find it don't fit\nWell, that's it\nYou've been trying\nTo show me that you know\nBut what I can't understand\nIs you're all show, show, show\nDon't you think you ought to\nGet to know me before we go\nOoh, make a fool out of someone else\nBut don't let me know\nWell, you got the wrong impression\nHow to handle me\nCause love ain't quite as simple\nAs it seems to be"
For Elise,The Philarmonics,,,,,,,,,,,,,,,,,,,
Hard Luck Woman,KISS,,1vcZBUX6P6FHXzG2mUfmCE,57,1976-11-11,day,0.668,0.867,11,-7.594,1,0.033,0.666,0,0.22,0.963,124.613,4,214667,"[Verse 1]\nIf never I met you\nI'd never have seen you cry\nIf not for our first ""Hello""\nWe'd never have to say goodbye\n[Verse 2]\nIf never I held you\nMy feelings would never show\nIt's time I start walking\nBut there's so much you'll never know\n[Pre-Chorus]\nI keep telling you, hard luck woman\nYou ain't a hard luck woman\n[Chorus]\nRags, a sailor's only daughter\nA child of the water\nToo proud to be a queen\nRags, I really love ya\nI can't forget about ya\nYou'll be a hard luck woman\nBaby, 'til you find your man\n[Verse 3]\nBefore I go, let me kiss you\nAnd wipe the tears from your eyes\nI don't wanna hurt you, girl\nYou know I could never lie\n[Pre-Chorus]\nI keep telling you, hard luck woman\nYou ain't a hard luck woman\nYou'll be a hard luck woman\nBaby, 'til you find your man\n[Chorus]\nRags, a sailor's only daughter\nA child of the water\nToo proud to be a queen\nRags, I really love ya\nI can't forget about ya\nYou'll be a hard luck woman\nBaby, 'til you find your man\nYou'll be a hard luck woman\nBaby, 'til you find your man"
Lost Without Your Love,Bread,,1aRncYBtdizYoVKcSt8oaY,58,1977,year,0.266,0.345,10,-11.484,1,0.0309,0.376,1.9e-05,0.103,0.199,145.98,4,176893,"Lost and all alone\nI always thought\nThat I could make it on my own\nSince you left\nI hardly make it through the day\nMy tears get in the way\nAnd I need you back to stay\nI wander through the night\nAnd search the world to find\nThe words to make it right\nAll I want is just\nThe way it used to be\nWith you here close to me\nI've got to make you see\nThat I'm lost without your love\nLife without you\nIsn't worth the trouble of\nI'm as helpless\nAs a ship without a wheel\nA touch without a feel\nI can't believe it's real\nAnd someday soon\nI'll wake\nAnd find my heart\nWon't have to break\nYes, I'm lost without your love\nLife without you isn't\nWorth the trouble of\nAll I want is just\nThe way it used to be\nI need you here with me"
You Make Me Feel Like Dancing - Remastered,Leo Sayer,,6gTrbqZnyljwXdYQTyBkSx,63,1976,year,0.728,0.718,8,-5.281,0,0.0501,0.0848,0,0.0579,0.733,95.922,4,219467,"[Intro: female Chorus]\nAhh\nAh-ha\nAhh\nAh-ha\n[Verse 1: Leo Sayer]\nYou've got a cute way of talking\nYou got the better of me\nJust snap your fingers\nAnd I'm walking\nLike a dog hanging on your lead\n[Pre-Chorus: Leo Sayer & \nfemale chorus\n]\nI'm in a spin you know \n(Ahh)\nShaking on a string you know \n(Ahh)\n[Chorus: Leo Sayer & female chorus]\nYou make me feel like dancing\nI'm gonna dance the night away\nYou make me feel like dancing\nI'm gonna dance the night away\nYou make feel like dancing\n[Post-Chorus: Leo Sayer & \nfemale chorus\n]\nI feel like dancing \n(Woo)\nDancing \n(Woo)\nDance the night away \n(Yeah)\nI feel like dancing \n(Woo)\nDancing\nAhh\n[Verse 2: Leo Sayer]\nQuarter to four in the morning\nI ain't feeling tired\nNo, no, no, no, no\nJust hold me tight\nAnd leave on the light\n'Cause I don't want to go home"
KONG,Dickie Goodman,,1PM9c2ga6D6GELvOOc3nqe,4,2012-09-25,day,0.675,0.72,1,-4.571,1,0.433,0.922,0,0.33,0.672,92.64,4,142267,
Ha Cha Cha (Funktion) - 2001 Digital Remaster / 24-Bit Mastering,Brass Construction,,6anYAKQSaAHJ8WP1ShStoY,12,2002-01-01,day,0.573,0.858,0,-3.148,1,0.0335,0.00154,0.396,0.176,0.69,127.354,4,351253,
Race Among the Ruins,Gordon Lightfoot,,1SAiMVOIMzwcm5VDBACiFI,41,1976,year,0.594,0.614,4,-13.915,1,0.0423,0.323,9.89e-05,0.152,0.557,93.431,4,198307,You think you had the last laugh\nNow you know this can't be true\nEven though the sun shines down upon you now\nSometimes you must feel blue\nYou make the best of each new day\nYou try not to be sad\nEven though the sky falls down upon you\nCall it midnight feelin' bad\nWhen you wake up to the promise\nOf your dream world comin' true\nWith one less friend to call on\nWas it someone that I knew\nAway you will go sailin'\nIn a race among the ruins\nIf you plan to face tomorrow\nDo it soon\nThe road to love is littered\nBy the bones of other ones\nWho by the magic of the moment\nWere mysteriously undone\nYou try to understand it\nBut you never seem to find\nAny kind of freedom comin' clean\nIs just another state of mind\nWhen you wake up to the promise\nOf your dream world comin' true\nWith one less friend to call on\nWas it someone that I knew\nAway you will go sailin'\nIn a race among the ruins\nIf you plan to face tomorrow\nDo it soon\nSo take the best of all that's left\nYou know this cannot last\nEven though your mother was your maker\nFrom her apron strings you pass\nJust think about the fool\nWho by his virtue can be found\nIn a most unusual situation\nPlayin' jester to the clown
Welcome to Our World (Of Merry Music),Mass Production,,0sQ4OcMgLkLahjZ3D1D4OU,30,1976,year,0.694,0.844,0,-13.373,1,0.0353,0.175,0.204,0.029,0.921,120.9,4,452920,
Dazz - Single Version,Brick,,5gQCUf4lfy6GpuhdPzxQ6B,56,1976,year,0.722,0.778,4,-7.931,1,0.0611,0.0697,7.46e-06,0.0414,0.839,109.076,4,202000,"Everybody go on and dance if you want to\nMusic makes your body move, well all right\nFunky dancing get up, get down, shake your booty\nMusic makes your body move, well all right\nLa la la la la la la la la la la la...\nOoh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh\nEverybody go on and dance if you want to\nMusic makes your body move, well all right\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nFunky dancing get up, get down, shake your booty\nMusic makes your body move, well all right\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)\nJazz Dazz (disco jazz)"
