song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Nothing Ever Goes As Planned,Styx,,5oVx6Gs3zWH3GB0TRoh1mO,34,1981-01-01,day,0.6,0.484,7,-11.379,0,0.0354,0.164,1.41e-05,0.0682,0.831,114.029,4,286827,"[Verse 1]\nWhat'cha gonna do when the sun goes down tonight\nYou'll hit the same old clubs, rap that same old trash\nThat's right\nYou've got them real silk shirts and them baggy pants\nDago shoes in the colors that match\nBut the girls are acting bored\nAnd you're feeling like you're going to lose\nYou've got the g.q. blues\n[Verse 2]\nYou get up every morning and you go to work each day\n(you go to work, you go to work, you go to work)\nBeen doing the same damn job for ten long years this May\n(you've got to work, you've got to work, you've got to work)\nYou've been working and saving for your Jamaican dream\nParadise is waiting across the sea\nBut when your plane lands Montego turns to monsoon\nYou've got the island blues\n[Hook]\nCause, nothing ever goes as planned\nIt's a hell of a notion\nEven pharaohs turn to sand\nLike a drop in the ocean\nYou're so together, you act so civilized\nBut every time that things go wrong you're still surprised\nYou've done your duty, you've paid a fortune in dues\nStill got them mother nature's blues"
More Stars (Abba Medley) - Original Single Version,Stars On 45,,1gQPqkrPZ1RypZvSYEAygs,40,1984,year,0.647,0.818,1,-6.174,0,0.051,0.155,8.18e-06,0.166,0.908,122.552,4,233213,
This Little Girl,Gary U.S. Bonds,,2Go3GgCcMjtZVdLUo2CI63,45,2004-10-01,day,0.505,0.898,11,-7.511,1,0.0452,0.0635,0.0,0.28,0.859,145.465,4,222707,"Here she comes walkin' down the stree-eet\nYou know she's walkin' just like she's walkin' to come and see me-ee\nOh she's so you-ou-ou-oung and she's so fi-ine\nI know what's on your mind, know what you wanna do\nBut if you mess with her, I'm gonna mess with you\nYou better watch your step, You better stay in line\nThis little girl is mi-i-ine, Oh-oh this little girl is mi-i-ine\nOh-oh this little girl, this little girl, this little gir-irl is mi-ine\nOh-oh this little girl is mi-i-ine, Oh-oh this little girl is mi-ine\nOh-oh this little girl, this little girl, this little gir-irl is mi-ine\nWell if the world was mine to do with what I want to do sir\nWell I'd wrap it up in a bow and give it all to her-er, yeah\nAnd all my lo-ove, all of the ti-i-ime\nYou know I'd hold her tight, I'd never let her go\nAnd late at night, You know I'd love her so\nYeah, I'd treat her right, So she'd never mind\nBut this little girl is mi-ine, Oh-oh this little girl is mi-i-ine\nOh-oh this little girl, this little girl, This little girl is mi-mi-mi-mine\nHey you better watch out, I'm tellin' you the score-ore\nAre you gonna be sweepin' your broken heart up off the floor-oor\nOh and that ain't a-all, I'm tellin' you my frie-iend\nI know what's on your mind, know what you wanna do\nBut if you mess with her, I'm gonna mess with you\nYou like the way she moves, you like to watch her walk\nYou better listen up 'cause man this ain't just talk\nYou better watch yourself, you better stay in line\nNow mister I said\nThis little girl is mi-ine, Oh-oh this little girl is mi-i-ine\nThis little girl, this little girl, this little girl is mi-i-ine\nOh-oh this little girl, this little girl"
I Love You,Climax Blues Band,,3VyJPsb2ucaaVptLSDpJNH,54,1980,year,0.559,0.446,10,-8.805,1,0.0349,0.608,0.000131,0.0902,0.239,131.792,4,245452,"When I was younger, man\nI hadn't a care\nFooling around\nHitting the town\nGrowing my hair\nYou came along\nAnd stole my heart\nWhen you entered my life\nOoh, babe\nYou got what it takes\nSo I made you my wife\nSince then\nI never looked back\nIt's almost like living a dream\nAnd, ooh\nI love you\nYou came along\nFrom far away\nAnd found me here\nI was playing around\nFeeling down\nHitting the beer\nYou picked me up\nFrom off the floor\nAnd gave me a smile\nYou said\nYou're much too young\nYour life ain't begun\nLet's walk for awhile\nAnd as my head was spinning 'round\nI gazed into your eyes\nAnd thought, ooh\nI want you"
Jole Blon,Gary U.S. Bonds,,3sAw1FSEuapKTrJaWMr16k,39,2004-10-01,day,0.502,0.931,0,-6.099,1,0.035,0.0311,0.0,0.427,0.966,131.286,4,205160,
Long Play Album II - Star Wars Medley - Remastered,Stars On 45,,0srpXwhMtJ16OrIMulTHjj,18,2022-09-09,day,0.599,0.668,2,-8.2,0,0.063,0.00932,0.196,0.493,0.868,123.333,4,312396,
You're Mine Tonight,Pure Prairie League,,2oA9wvH78XfGAAQ98hvEb5,19,1981-01-01,day,0.682,0.45,2,-14.434,1,0.0421,0.721,1.94e-05,0.0888,0.901,146.818,3,211707,(Rafe Van Hoye)\nThere is no need for explanation... both of us know what's goin' on\nAn unspoken late night invitation\nTo keep 'til tomorrow when you're back where you belong\nBut you're mine... tonight... somebody else's in the morning light\nBut you're mine... tonight.. and that's all right\nI feel emotion in the making... kissing the lips that never lie\nBut I can tell someone else is waiting\nTo play in the fire I see burning in your eyes\nBut you're mine... tonight... somebody else's in the morning light\nBut you're mine... tonight.. and that's all right\nDon't know how often I have held you\nDon't really know what this means\nIt's so hard for me not to tell you\nYou've been the star of my dreams\nIt's foolish to think of revealing... how I've been yours for so long\nThere's just no future in the feeling\nA taste of your love.. then tomorrow you'll be gone\nBut you're mine... tonight... somebody else's in the morning light\nBut you're mine... tonight.. and that's all right
It's Just the Sun,Don McLean,,5igvqjbmTTr3rMhsV3VMtN,46,1978-12-01,day,0.586,0.415,0,-12.337,1,0.0281,0.403,6.71e-06,0.368,0.794,107.818,4,151413,"It's just the sun that's shinin' in your eyes\nIt's just the moon that is the sun's disguise\nJust the sky, with clouds a blowin' by\nThe sun and the moon and the sky, and you and I\nIt's just the rain that's rollin' down my cheek\nIt's just the wind that makes me hear you speak\nIt's just the song that anyone can sing\nThe rain and the wind and the song and the love you bring\nIt's just the world that gonna break your heart\nIt's just the past that's tearin' us apart\nIt's just the time we have so little of\nThe world and the past and the time that we fell in love\nIt's just the sun that's shinin' in your eyes\nIt's just the moon that is the sun's disguise\nIt's just the sky, with clouds a blowin' by\nThe sun and the moon and the sky, and you and I"
Just Like Paradise,Larry John McNally,,5vbHy1rDOEUBzZfPajMnWr,10,2012-07-10,day,0.711,0.76,11,-5.807,0,0.0679,0.346,6.01e-06,0.145,0.886,109.73,4,206573,
Hold Tight,Change,,4bh0r5EmhGg8bPmoy4KjUK,34,1981,year,0.794,0.665,5,-8.624,0,0.073,0.487,3.29e-05,0.0812,0.881,115.082,5,267707,"[Intro]\nHold tight\n[Chorus]\nHold tight\nIf you wanna make this feelin' stay\nHold tight, hold tight\nDon't let this moment fade away\nHold tight\nNow it's here, it's gonna stay\n[Verse 1]\nEverybody gets the chance someday\nCall it once, at last\nYou think you've got it made\nNot a word that anyone can say\nThat can change the way you feel\n'Cause you know that love is real\nYou can choose with whom you fall in love\nAnybody, any moment, anywhere\n'Cause no matter who you chose\nThere's a chance that you might lose\nGonna try and that's the best that I can do\n[Chorus]\nHold tight\nIf you wanna make this feeling stay\nHold tight, hold tight\nDon't let this moment fade away\nHold tight\nNow it's here, it's gonna stay\nHold tight\nIf you wanna make this feeling stay\nHold tight, hold tight\nDon't let this moment fade away\nHold tight\nNow it's here, it's gonna stay"
