song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Can You Do It,The Contours,,5nLE2xzNkPewNp0PpUSnVB,14,1999-03-23,day,0.6,0.916,5,-5.075,1,0.107,0.336,1.36e-06,0.206,0.688,76.707,4,140907,"[Intro]\n1964 and we will dance some more\nYou gotta keep up with the times if you wanna be mine\nSo if you can do it let me know\nDo it do it do it, do it do it do it\n[Verse 1]\nI, went to a dance, ah, just the other night\nOther night, other night, other night\nThe dance they was doin' there, it was out of sight\nOut-a-sight, out-a-sight, out-a-sight\nI knew right away, yeah, that there was nothing to it\nNothin' to it, nothin' to it, nothin' to it\nI knew right away, oh boy, even I could do it\nEven I could do it, I could do it, I could do it\nWell, first step, you got to move to the left\nSecond step, you got to go for yourself\nThird step, well, you're doin' alright\nOh, oh, oh, oh, oh, oh, oh, oh!\nGrab yourself a partner, then you start it movin' too\nTo and fro, to and fro, to and fro\nThe next thing you know, hey, you want to do it some more\nDo it some more, do it some more, do it some more\nI knew right away, yeah, that there was nothing to it\nNothin' to it, nothin' to it, nothin' to it\nI could tell right away, oh boy, even I could do it\nEven I could do it, I could do it, I could do it, yeah\nYeah, first step, you got to move to the left\nSecond step, you got to go for yourself\nThird step, well, you're doin' alright\nOh, oh, oh, oh, oh, oh, oh, oh!\nYou grab yourself a partner, then you start it movin' too\nTo and fro, to and fro, to and fro\nYou get out on the floor and start doin' it some more\nDo it some more, do it some more, do it some more"
"Hey, Bobba Needle",Chubby Checker,,5PZjtF0B9w34ivVdkX9UUM,18,2020-06-19,day,0.671,0.762,4,-4.921,1,0.214,0.778,0.0,0.341,0.674,91.828,4,140187,Spoken:\nThis is a sad story about a girl named Mary Mac and her wondering lover Bob Needle\n(Oh! Softly)\nI can hear her callin'\nHey Bobba Needle - Bobba Needle - Bobba Needle\nHey Bobba Needle - Bobba Needle - Bobba Needle\nHey Bobba Needle - Bobba Needle - Bobba Needle\nHey Bobba Needle - Bobba Needle - Bobba Needle\nHey Bob\nHey Bob\nMary Mac Mac Mac\nAll dressed in black black black\nDon't cha know I'm tryin' tryin' tryin'\nJust to come on back back back\nCause I took a plane plane plane\nBut there was some rain rain rain\nAnd there was no flyin' flyin' flyin'\nSo I took a train train train\nOh Mary Mac Mac Mac\nIt went off the track track track\nCan't you see I'm dyin' dyin' dyin'\nJust to come on back back back
Nadine (Is It You?),Chuck Berry,,1v8oUOlXSyCnu47G3kjILN,6,2005-04-26,day,0.712,0.771,5,-8.83,0,0.0449,0.723,1.53e-05,0.116,0.959,140.692,4,153693,"[Verse 1]\nAs I got on a city bus and found a vacant seat\nI thought I saw my future bride walkin' up the street\nI shouted to the driver, ""Hey conductor, you must slow down\nI think I see her please let me off this bus""\n[Chorus]\nNadine, honey, is that you?\nOh, Nadine, honey, is that you?\nSeems like every time I see you, darling, you got something else to do\n[Verse 2]\nI saw her from the corner when she turned and doubled back\nAnd started walkin toward a coffee colored Cadillac\nI was pushin through the crowd to get to where she's at\nAnd I was campaign shouting like a southern diplomat\n[Chorus]\nNadine, honey, is that you?\nOh, Nadine, honey, where are you?\nSeems like every time I catch up with you, you're up to something new\n[Verse 3]\nDowntown searching for her, looking all around\nSaw her getting in a yellow cab heading uptown\nI caught a loaded taxi, paid up everybody's tab\nWith a twenty-dollar bill and told him, ""Catch that yellow cab""\n[Chorus]\nNadine, honey, is that you?\nOh, Nadine, honey, is that you?\nSeems like every time I catch up with you, you're up to something new\n[Verse 4]\nShe moves around like a wayward summer breeze\n""Go, driver, go, go, catch her, pretty please""\nMoving through the traffic like a mounted cavalier\nLeaning out the taxi window trying to make her hear"
The New Girl In School,Jan & Dean,,1f1ytbKtwlVmWELCg8rqjB,27,2010-01-01,day,0.548,0.766,6,-10.862,1,0.0509,0.608,0.0,0.0923,0.967,134.4,4,147360,
Baby Baby Baby,Anna King-Bobby Byrd,,,,,,,,,,,,,,,,,,,
Giving Up On Love,Jerry Butler,,4Znzmbn0VIL3cwxT8IS17X,3,1963-01-01,day,0.399,0.445,7,-9.606,0,0.0283,0.973,7.76e-05,0.395,0.536,88.647,4,155240,"(Giving up, giving up)\n(Giving up, giving up)\nThis is not the first time\nIt's happened before\nOh, the girl that I love\nDoesn't love me anymore\nSo I've had it, forget it\nDon't want it, you got it\nI'm giving up on love\nBefore love gives up on me\n(Giving up, giving up)\n(Giving up, giving up)\nHow much can you give\nAnd get nothing in return\nAnd, oh, how long do you live\nBefore you finally learn\nSo I've had it, forget it\nI don't want it\nBrother, you've got it\nI'm giving up on love\nBefore love gives up on me\n(Giving up, giving up)\n(Giving up, giving up)\nWell, I've had it\nOh, forget it, I don't want it\nBrother, you've got it\nI'm giving up on love\nBefore love gives up on me\nYes, I am\nI said I'm giving up today\nBecause love's given up on me\nAnd gone away"
The Wonder of You,Ray Peterson,,4OS61WKuzApzNXrcBB8mj5,37,1958-11-26,day,0.158,0.479,5,-7.554,1,0.0336,0.358,9.09e-06,0.101,0.319,73.192,4,157933,"[Verse 1]\nWhen no one else can understand me\nWhen everything I do is wrong\nYou give me love and consolation\nYou give me hope to carry on\n[Chorus]\nAnd you try to show your love for me\nIn everything you do\nThat's the wonder\nThe wonder of you (Oh, wonder of you-ooh-ooh-ooh-ooh)\n[Verse 2]\nAnd when you smile the world is brighter\nYou touch my hand, and I'm a king\nYour kiss to me is worth a fortune\nYour love to me is everything\n[Chorus]\nAnd you're always there to lend a hand\nIn all I try to do\nThat's the wonder\nThe wonder of you (Oh, wonder of you-ooh-ooh-ooh-ooh)\n[Instrumental Break]\n[Chorus]\nI guess I'll never know the reason why\nYou love me as you do\nThat's the wonder\nThe wonder of you"
Soul Hootenanny (Pt. I),Gene Chandler,,,,,,,,,,,,,,,,,,,
Caldonia,James Brown And His Orchestra,,,,,,,,,,,,,,,,,,,
Big Party,Barbara & The Browns,,4qB01kPcyMsgdGvLG0psdl,13,2021-01-22,day,0.557,0.436,10,-10.94,1,0.0612,0.358,8.27e-05,0.254,0.722,73.492,4,160360,
