song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Danny's Song,Anne Murray,,5lQxMlCMTzCj3j4vyzdl8T,56,1973,year,0.512,0.379,11,-12.251,0,0.0299,0.418,1.09e-05,0.0967,0.522,144.687,4,188293,"People smile and tell me I'm the lucky one\nAnd we've just begun\nI think I'm gonna have a son\nHe will be like him and me, as free as a dove\nConceived in love\nThe sun is gonna shine above\nAnd even though we ain't got money\nI'm so in love with you honey\nEverything will bring a chain of love\nAnd in the morning when I rise\nBring a tear of joy to my eyes\nAnd tell me everything's gonna be all right\nLove a guy who holds the world in a paper cup\nDrink it up\nLove him and he'll bring you luck\nAnd if you find he helps your mind, better take him home\nYeah, and don't you live alone\nTry to earn what lovers own\nAnd even though we ain't got money\nI'm so in love with you honey\nEverything will bring a chain of love\nAnd in the morning when I rise\nBring a tear of joy to my eyes\nAnd tell me everything's gonna be all right\nAnd even though we ain't got money\nI'm so in love with you honey\nEverything will bring a chain of love\nAnd in the morning when I rise\nBring a tear of joy to my eyes\nAnd tell me everything's gonna be all right"
Oh La De Da,The Staple Singers,,1hKb6MXvSIxIaYDOyijdQX,17,2007-01-01,day,0.568,0.839,7,-6.244,1,0.0321,0.00645,7.93e-06,0.419,0.906,141.906,4,215293,"If you feel like clapping your hands\nYou better come on, come on\nCome on, come on\nIf you feel like you wanna dance\nCome on, come on\nCome on, come on\nAnd if you feel like you wanna sing\nCome on, come on, come on\nCome on now, everybody sing along\nOh, sing it now\nOh, la de dah, oh, la de dah\nOh, la de dah, yeah, oh, la de dah\nOh, la de dah, oh, la de dah\nOh, yeah, everybody sing along\nIf you feel like you want a friend\nCome on, come on\nCome on, come on\nRegardless of the color of my skin\nCome on, come on, come on\nAnd if you won't discrimination to end\nCome on, come on, come on\nOh, yeah, yeah, everybody sing along\nOh, la de dah, say it y'all\nOh, la de dah, come on, come on now\nOh, la de dah, oh, la de dah\nOh, la de dah, say it y'al\nOh, la de dah, oh, la de dah\nOh, yeah, everybody sing along\nIf you want to do your thing\nDo it now, oh, lad de dah\nCome on now, don't you be ashamed\nOh, la de dah, it can be a woman\nOr a man, fo your thing\nOh, lad de dah, oh, oh oh"
Step by Step,Joe Simon,,2I3Y4HeyWb0iuOphyDVYHl,23,1973-01-01,day,0.719,0.814,2,-7.294,1,0.0315,0.401,0.00018,0.0964,0.935,114.742,4,204730,
Always,Luther Ingram,,3JMs4Z63YNSK5RnHUhpeOe,12,1967,year,0.619,0.614,8,-8.795,1,0.0257,0.105,0.0,0.194,0.703,106.617,3,269427,
Cindy Incidentally,Faces,,3w0ZmyR5gMRPZvqQA3p2G2,48,1973,year,0.728,0.806,10,-7.64,1,0.0502,0.643,0.00564,0.0745,0.944,107.636,4,158893,"[Verse 1]\nOh Cindy, ain't you noticed?\nThat several of your friends have moved on\nAnd the street outside is just a little too quiet\nAnd your local papers run out of news\nI'm not persuading you or disengaging you\nBut Cindy, you and me we gotta move\n[Chorus]\nCan you refuse? No time to lose\nWe'll hit the high road early this morning\nSo don't be late, don't hesitate\nThis dream can pass just as fast as lighting\n[Verse 2]\nOh, Cindy, incidentally\nBaby, I ain't putting you on\n[Instrumental Break]\n[Chorus]\nCan you refuse, with nothing to lose?\nWe'll hit the high road early this morning\nSo don't be late, don't hesitate\nThis dream can pass just as fast as lighting\n[Verse 3]\nOh Cindy, don't you worry\n'Cause between us we can make it through\nThere ain't nothing, no, no nothing\nIn the world I can do without you\nSo Cindy, get your coat on\nLeave the rent with the gent up in the penthouse\nTurn your music so loud let's attract a big crowd\nWe'll drink a round to this town and bid goodbye\nFarewell"
Everything's Been Changed - Digitally Remastered 1997,The 5th Dimension,,4y3TAywlN0ijPUcFtz1wQt,7,2011-03-15,day,0.461,0.287,0,-11.596,0,0.0263,0.891,2.19e-05,0.204,0.181,79.38,4,227667,"Rearranged\nEvery room, every floor\nEvery inch from door to door\nEvery chair\nEvery chair and table's new\nEvery cup and saucer, too\n[Chorus:]\nEverything's been changed\nNothing's like before\nThings I did with you\nI do no more\nThey're all behind me\nEverything's been changed\nSince we've been apart\nEverything that is\nExcept my heart\nYesterday, you were mine\nThe world was ours\nHappy days of fun filled hours\n[Repeat Chorus]\nAnd I don't know what to do\nAbout all the tears I've cried\nAnd I can't get over you\nNo matter how hard I try\n(They're all behind me)\nCause\n[Repeat Chorus to fade]"
People Are Changin',Timmy Thomas,,0TFrVhKOpOlQDs8paaoGny,9,2019-08-02,day,0.961,0.537,5,-9.668,0,0.0861,0.296,0.698,0.109,0.766,108.826,4,227267,People are changing\nI  said people people are changing\nThis  whole world this whole world is changing\nHow do I know let me tell you so\nHere's an example\nTake  the time\nWhen  it used to be man to boy\nTake the time when we all had to go from front to back\nThere's  more love for your fellow man\nThousands of people joining hands\nOh people are changing\nI said people people are changing\nDon't  you know this whole world this whole world is changing\nHow do I know let me tell you so\nOne more example\nTake the time\nWhen we were afraid to even talk\nWhite and black red and yellow never could walk side by side\nNow we can\nThere's more love for your fellow man\nThousands of people all of us joining hands\nPeople everybody's changing\nPeople oh people are changing\nI said people people are changing\nDon't you people came from far and near\nYou know why they came? There's more love for your fellow man\nThousands of people all of us joining hands\nEverybody's changing people\nDo it with me\nPeople are changing
Am I Black Enough for You?,Billy Paul,,7MJgHOKfiffKRPLQTSLlgo,42,1972-10-25,day,0.464,0.912,8,-8.532,1,0.0656,0.281,0.000953,0.213,0.871,191.418,4,315693,Am I black enough for you\nAm I black enough for you\nAm I black enough for you\nAm I black enough for you\nWe're gonna move on up\nOne by one\nWe ain't gonna stop\nUntil the work is done\nAm I black enough\nBlack enough for you\nAm I black\nBlack enough for you\nWe're gonna move on up\nTwo by two\nAnd this whole world\nIs gonna be brand new\nAm I black enough for you\nAm I black enough for you\nGet in line\nStop marching in time\nYou better make up your mind\nWe're gonna leave you behind\nWe're gonna move on up\nThree by three\nWe gotta get rid of poverty\nI got to stay black\nBlack enough for you\nI got to stay black\nBlack enough for you\nWe're gonna move on up\nFour by four\nWe ain't never\nGonna suffer no more
Only Love (Remastered),Bill Quateman,,614D2rzF4H94mc3LKWE2Wb,7,2016-04-01,day,0.345,0.734,1,-6.802,0,0.0656,0.647,0.0,0.136,0.738,187.158,4,183707,
Let Me Down Easy,Cornelius Brothers & Sister Rose,,4UjRy1dtTN2uiD7lAyqC93,19,1996-01-01,day,0.591,0.603,11,-7.17,0,0.0291,0.372,0.0,0.0481,0.591,113.39,4,174614,
