song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Restless,Starpoint,,1hfM5Sj9LaLW54m7Ihtpuy,21,1985,year,0.733,0.595,9,-12.076,0,0.0438,0.0874,0.0028,0.306,0.962,117.92,4,231840,"Restless\nDo do do\nSunday morning, break of dawn\nAnd I don't think I've slept at all\nI toss and turn and body's yearning\nThinking 'bout you all night long\nFeel the thunder in my heart beating\nIt's tearing me apart\nI won't rest until you're here beside me\nSharing my love through the night\nI'm restless, I can't sleep a wink\nCan't live without your love\nI'm restless, I can't sleep a wink\nI can't live without your love\nI tried to fight it, tried to hide it\nJust another passing flame, well\nHere today and gone tomorrow\nBut with you the fire raged\nOver my mind, body and soul baby\nYou took complete control\nI'm on the verge of going crazy maybe\nYou're all I want\nDon't you leave me in the cold\nI'm restless, I can't sleep a wink\nCan't live without your love\nI'm restless, I can't sleep a wink\nI can't live without your love\nI'm restless, I can't sleep a wink\nCan't live without your love\nI'm restless, I can't sleep a wink\nI can't live without your love"
I Want You,Animotion,,32oO3V7ccsFg5AbYYedyvL,27,1996-01-01,day,0.628,0.748,2,-13.086,1,0.0357,0.000843,0.00112,0.0485,0.494,132.277,4,277667,Time and time again\nI keep trying to\nPut you out of my mind\nI can't concentrate\nYou're the only feeling\nI can find\nAnd it's taking over\nRolling me over\nSeems like it won't stop\nAnd I've lost control\nOf my heart and soul\nCause when I see your eyes\nThen I know I want you\nWhen I hear your voice\nThat's when I know I want you\nLosing all my defenses\nYou're slipping back\nInside of my head\nIt's getting so I can't\nExist without the thought\nOf us together again\nAnd it's taking over\nRolling me over\nSeems like it won't stop\nAnd I've lost control\nOf my heart and soul\nCause when I see your eyes\nThen I know I want you\nWhen I hear your voice\nThat's when I know I want you\nWhen I feel your touch\nThen I know I want you\nThen I know I want you\nI want you
Tender Love,Force M.D.'s,,6D527hFJzl1vWSzosEbyQk,54,1985-01-01,day,0.34,0.336,8,-7.289,1,0.0289,0.769,7.82e-05,0.126,0.0925,142.676,4,234053,"[Verse 1]\nHere I lay all alone\nTossin', turning\nLonging for some of your tender love\nI'm waiting for the right moment to come\nSo I can thank you for\nAll the tender love you've given to me\n[Chorus]\nTender love, love so tender\nPulling me close to you\nBaby, I surrender\n[Verse 2]\nCandles they light the dark\nNow I see how lovely the feelings are\nAll the tender love you've given to me\n[Verse 3]\nI want you more and more, can't resist you\nOoh then I feel your touch, tender love\nLoving me straight from the heart, hold me nearer\nPlease let me be a part of the tender love you're giving to me\n[Chorus]\nTender love, love so tender\nHolding me close to you\nBaby, I surrender\nOoh yeah, surrender baby\n[Non-lyrical Chorus]\n[Outro]\nTender love\nPlease let me be a part\nTender love"
Right Between the Eyes,Wax,,2S15nnfXkeNyi1OZppkBeN,46,1986-06-02,day,0.625,0.629,9,-13.046,1,0.027,0.111,0.0119,0.213,0.924,93.168,4,249280,"[Verse 1]\nTrue love for me was nothing but a mystery\nJust something only captured in a dream\nOh, then suddenly\nIt was hitting me\nRight between the eyes (Uh huh)\n[Verse 2]\nI wasn't looking for a love explosion\nBut I must have been a target, my oh my\n'Cause when I least expected it\nI took a direct hit\nRight between the eyes (Uh huh)\n[Pre-Chorus]\nYou, you shattered my resistance, yes it's true\nYou battered my defence, what could I do?\nI'm running from the heat between me and you\n[Chorus]\nYou hit me with a million volts\nNailed me with a lightning bolt\nOh, baby, you knocked me cold (Knocked me cold)\nYour love has zapped me right between the eyes\n[Verse 3]\nNow nothing's going to cool down my desire\n'Cause I'm jumpin' from the fat into the fire\nLove bug has bitten me\nAnd you're hitting me\nRight between the eyes\n[Pre-Chorus]\nAnd now, each time I think about you I don't know how\nI ever did without you, you spin me 'round\nAnd I'll never get my feet back on the ground\n[Chorus]\nYou hit me with a million volts\nNailed me with a lightning bolt\nOh, baby, you knocked me cold (Knocked me cold)\nYour love has zapped me right between the eyes (Yeah)"
Vanity Kills,ABC,,3rVMvWZ80QQUdZjbvJhNqy,20,1985-10,month,0.843,0.876,0,-9.951,1,0.0525,0.119,0.00129,0.0667,0.92,125.12,4,209333,"Have you heard the latest (You love you)\nHave you seen who just walked in (Vain vain vain vain)\n(Uh huh, you love you)\nRight over there\n(She's so vain vain vain vain)\n(Vain vain vain vain)\nI'm glad you've found someone who loves you\nBut sad to say that someone is you\nAnd now perhaps you'll both be happy\nGuess that makes two, just you and you\nSomeone who cares so much about you\nBut does that someone have to be you\n(Bom bom bom bom bom bom bom bom, yeah)\n(Bom bom bom bom bom bom bom bom, yeah)\nVanity kills, it don't pay bills\nVanity kills, you love you\nVanity kills, it don't pay bills\nVanity kills, it kills\n(Vain vain vain vain)\nSo glad I found you glancing in the mirror\nGazing deeply at love's patron saint\nAdmire the frame, survey the scenery\nOr are you just inspecting the paint\nTemptation's strong modesty's so weak\nHigh on yourself, humble you ain't\n(Bom bom bom bom bom bom bom bom, yeah)\n(Bom bom bom bom bom bom bom bom, yeah)\nVanity kills, it don't pay bills\nVanity kills, you love you\nVanity kills, it don't pay bills\nVanity kills, you love you\nVanity kills, it don't pay bills (No way)\nVanity kills, you love you\nVanity kills, it don't pay bills\nVanity kills, it kills"
"Saturday Love - 12"" Extended Version",Cherrelle,Alexander O'Neal,5W3Y5I9y5ps6M6rl09e7zg,51,2011-01-01,day,0.865,0.394,11,-12.235,1,0.0528,0.0832,0.00231,0.302,0.643,115.936,4,521693,"[Intro: Cherrelle]\nIt's been a long time\nI didn't think I was going to see you again\nI see you haven't changed\nIt's good to see you anyway\n[Chorus x2:]\nSunday, Monday, Tuesday, Wednesday\nThursday, Friday, Saturday love\nSunday, Monday, Tuesday, Wednesday\nThursday, Friday, Saturday love\n[Verse 1: Cherrelle]\nWhen I think about you\nMy feelings can't explain\nWhy after all this time\nMy heart still feels pain\n[Hook:]\nWhen I look at you\nMemories of love\nLike no one before\nYou stay on my mind\n(Special feelings, special time)\nAlways so special\n(I was yours and you were mine)\nMade for each other\n(All the good I won't forget)\nYou will stay on my mind\n(Saturday, the day we met)\nFor always\nAnd forever\nYou will be my Saturday love\n[Repeat Chorus:]"
Innocent Eyes,Graham Nash,,5yEjgqVZ3Yy2neTvxt2xbR,13,1986,year,0.596,0.618,4,-11.339,0,0.0292,0.167,2.56e-06,0.0836,0.897,129.738,4,190307,"With your innocent eyes\nYou’ve been telling me lies\nYou’ve been making a fool of me\nIf it’s all a disguise\nI’ve been living a fantasy\nYou’re lying with your innocent eyes\nThis situation I can do without\nSo don’t trouble yourself to call, I just found you out\nWhile your lying eyes are saying\nYou wanted only me\nYour heart is with another\nAnd you’re saying what you think I’ll believe\nWith your innocent eyes\nYou’ve been telling me lies\nYou’ve been making a fool of me\nIf it’s all a disguise\nI’ve been living a fantasy\nYou’re lying with your innocent eyes\nHow did I ever believe you\nIt was no surprise\nAh, just one look and I fell\nFor your innocent eyes\nYou’re lying with your innocent eyes\nYou’ve telling me lies\nYou’ve been making a fool of me\nYou\nYou"
Karen,B.E. Taylor Group,,,,,,,,,,,,,,,,,,,
What You Need,INXS,,04EnF5C2HvYZfGu64Bng7I,50,1985-10-14,day,0.685,0.827,11,-6.045,1,0.0546,0.0238,0.0159,0.328,0.477,116.085,4,214000,"[Verse 1]\nHey, here is the story\nForget about the troubles in life\nDon't you know, it's not easy\nWhen you gotta walk upon that line\n[Chorus]\nThat's why - You need\nOooo, that's why - This is what you need\nI'll give you what you need\n[Verse 2]\nOooohh\nDon't you get sad and lonely\nYou need a change from\nWhat you do all day\nAin't no sense in all your crying\nJust pick it up and throw it into shape\nOoo yeah\n[Chorus]\nThat's why - You need\nOooo, that's why - This is what you need\nI'll give you what you need\n[Verse 3]\nHey you, won't you listen\nThis is not the end of it all\nDon't you see there is a rhythm\nI'll take you where you\nReally need to be"
Rock Me Amadeus,Falco,,0DfG1ltJnZyq4Tx3ZLL7ZU,67,1985-02-19,day,0.61,0.817,4,-9.45,0,0.133,0.296,0.00336,0.0884,0.89,176.735,4,202236,"[Intro]\nUh, rock me Amadeus\n[Part 1]\nEr war ein Punker und er lebte in der großen Stadt\nEs war in Wien, war Vienna, wo er alles tat\nEr hatte Schulden, denn er trank, doch ihn liebten alle Frauen\nUnd jede rief: „Come and \nrock me Amadeus\n!“\nEr war Superstar, er war populär\nEr war so exaltiert, because er hatte Flair\nEr war ein Virtuose, war ein Rockidol\nUnd alles rief: „Come and rock me Amadeus!“\n[Hook]\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus - oh, oh, oh - Amadeus\nCome and rock me Amadeus!\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus - oh, oh, oh - Amadeus\n[Part 2]\nEs war um 1780 und es war in Wien\nNo Plastik money anymore, die Banken gegen ihn\nWoher die Schulden kamen, war wohl jedermann bekannt\nEr war ein Mann der Frauen, Frauen liebten seinen Punk\nEr war Superstar, er war so populär\nEr war zu exaltiert, genau das war sein Flair\nEr war ein Virtuose, war ein Rockidol\nUnd alles ruft noch heute: „Come and rock me Amadeus!“\n[Hook]\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus - oh, oh, oh - Amadeus\nCome and rock me Amadeus!\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus, Amadeus\nAmadeus, Amadeus - oh, oh, oh - Amadeus\nCome and rock me Amadeus!\nCome and rock me Amadeus!"
