song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
"Baby, I'm For Real",The Originals,,7vI2UMCyF56ZNDbVZmKiJ2,49,1969-01-01,day,0.341,0.263,5,-12.011,1,0.0288,0.634,0,0.121,0.377,150.17,3,201867,"[Verse 1]\nBaby, baby\nYou don't understand\nHow much I love you baby\nAnd how much I wanna be your only man, oh baby\n[Chorus]\nBaby, baby, baby\nYou don't have to go\nStay a little while longer baby\nI wanna talk to you just a little more\n[Verse 2]\nI see the little tears in your eyes about to fall\nYou are wondering if I'm for real\nBut if you cry, I wonder why you cry\nI tell you, know why this is how I feel\n[Bridge]\nBaby I'm for real\n(Baby I'm for real)\n(Baby I'm for real)\n[Verse 3]\nBut if you wanna know the truth about it\nGirl, I just couldn't live without you\nAnd that's why I'm confessing my love to you\nSo that I can live my whole life with you\n[Outro]\nBaby, baby, baby\n(My whole life with you)\nDon't leave\n(My whole life with you)\nNever, never, never, never gonna leave you, baby\n(My whole life with you)\nOoh\n(My whole life with you)\nBaby, baby"
And When I Die,"Blood, Sweat & Tears",,7kDPwGDjxDBONlPpkc1p77,49,1968-12,month,0.628,0.439,9,-10.728,1,0.134,0.332,1.35e-05,0.0555,0.507,127.589,4,244973,
Cherry Hill Park,Billy Joe Royal,,2u0kV66s6u9OAVP6PtBf2f,33,1985-01-23,day,0.614,0.501,5,-9.511,1,0.0422,0.609,0,0.123,0.896,125.727,4,180320,"[Verse 1]\nMary Hill used to hang out in Cherry Hill Park\nThe game she played lasted all day 'til way after dark\nAll the girls they criticized her\nBut all the guys just idolized her\n'Cause Mary Hill was such a thrill after dark\nIn Cherry Hill Park\n[Verse 2]\nMary Hill loved to ride on the merry-go-round\nAll the guys got eager eyes watchin' Mary go 'round\nIn the daytime Mary Hill was a teaser\nCome the night she was such a pleaser\nOh, Mary Hill was such a thrill after dark\nIn Cherry Hill Park\n[Chorus]\nOh, Mary Hill sure was fun down at Cherry Hill Park\nPlayin' games with everyone 'til way after dark\n(Cherry Hill Park, Cherry Hill Park)\n[Verse 3]\nAnd then one day, Mary Hill, she married away\nA man with money said, ""Come on honey"", and she said, ""OK""\nShe went away to play a one-man game\nAnd since that day it ain't been the same\n'Cause Mary Hill was such a thrill after dark\nDown in Cherry Hill Park\n[Chorus]\nAh, Mary Hill sure was fun down at Cherry Hill Park\nPlayin' games with everyone 'til way after dark\nIn Cherry Hill Park (Cherry Hill Park)\n[Outro]\nIn Cherry Hill Park (Cherry Hill Park)\nWhoa, Cherry Hill Park, yeah (Cherry Hill Park)\nTalkin' 'bout Cherry Hill Park (Cherry Hill Park)"
Heaven Knows,The Grass Roots,,4PytEUhlDFjStKqoGn1hHV,27,1969-11-01,day,0.687,0.724,0,-6.296,1,0.0301,0.157,0.00193,0.0658,0.93,127.095,4,145600,"With a song in my heart\nAnd a chance to be yours forever\nI couldn't feel more secure\nI know I couldn't feel any better\nOh Lord, Heaven knows\nHow much I love you and\nHow much it shows\nOh Lord, Heaven\nHeaven knows\nEvery time we're together\nYour love is movin' like lightnin' through me\nIt's such a beautiful feelin'\nNever hearin' goodbye said to me\nOh Lord, Heaven knows\nHow much I love you and\nHow much it shows\nOh Lord, Heaven\nHeaven knows\nI was livin' without you\nTryin' to make it alone\nBut there's somethin' about you\nNow your heart is my home\nWith a song in my heart\nAnd a chance to be yours forever\nI couldn't feel more secure\nI know I couldn't feel any better\nOh Lord, Heaven knows\nHow much I love you and\nHow much it shows\nOh Lord, Heaven\nHeaven knows"
"Turn, Turn, Turn! / To Everything There Is a Season",Judy Collins,,01e0o0koiUiQZBDFEnAT6D,29,1964,year,0.448,0.135,8,-11.188,1,0.0408,0.898,2.05e-05,0.31,0.443,125.703,4,220266,"Words-adapted from the bible, book of ecclesiastes\nMusic-pete seeger\nTo everything (turn, turn, turn)\nThere is a season (turn, turn, turn)\nAnd a time for every purpose, under heaven\nA time to be born, a time to die\nA time to plant, a time to reap\nA time to kill, a time to heal\nA time to laugh, a time to weep\nTo everything (turn, turn, turn)\nThere is a season (turn, turn, turn)\nAnd a time for every purpose, under heaven\nA time to build up,a time to break down\nA time to dance, a time to mourn\nA time to cast away stones, a time to gather stones together\nTo everything (turn, turn, turn)\nThere is a season (turn, turn, turn)\nAnd a time for every purpose, under heaven\nA time of love, a time of hate\nA time of war, a time of peace\nA time you may embrace, a time to refrain from embracing\nTo everything (turn, turn, turn)\nThere is a season (turn, turn, turn)\nAnd a time for every purpose, under heaven\nA time to gain, a time to lose\nA time to rend, a time to sew\nA time to love, a time to hate\nA time for peace, I swear its not too late"
Volunteers - Remastered,Jefferson Airplane,,04lTbtPmiRzwsxZRs2sdk9,46,1969,year,0.504,0.806,0,-7.512,1,0.0353,0.535,6.57e-06,0.362,0.796,106.904,4,123387,"[Verse 1]\nLook what's happening out in the streets\nGot a revolution, got to revolution\nHey, I'm dancing down the street\nGot a revolution, got to revolution\nAin't it amazing all the people I meet\nGot a revolution, got to revolution\nOne generation got old\nOne generation got soul\nThis generation got no dissertation to hold\nPick up the cry\n[Verse 2]\nHey now it's time for you and me\nGot a revolution, got to revolution\nCome on now, we're marching to the sea\nGot a revolution, got to revolution\nWho will take it from you, we will and who are we?\n[Chorus]\nWe are volunteers of America\nVolunteers of America\nVolunteers of America\nVolunteers of America\nVolunteers of America\n[Refrain]\nI got a revolution\nGot a revolution\n[Verse 1]\nLook what's happening out in the streets\nGot a revolution, got to revolution\nHey, I'm dancing down the street\nGot a revolution, got to revolution\nAin't it amazing all the people I meet\nGot a revolution"
Are You Getting Any Sunshine?,Lou Christie,,5Jb3RfbPcmkoKSy7003xOP,3,1969-01-01,day,0.628,0.703,7,-8.417,1,0.0271,0.225,1.56e-06,0.294,0.941,139.044,4,164107,"It's love when you're\nFeeling like a child of light\nIt makes beautiful people\nA sun tripper through the night\nWhat you need is love (baby love)\nWhen the under current gets you down\nWith topaz illusions and\nShadow confusions around\nKeep going in and out of it\nIn and out of it\nIn and out of the sun\nKeep going in and out of it\nIn and out of it\nIn and out of the sunshine\n(Sun, sunshine)\nAre you getting any sunshine\n(Sun, sunshine)\nAre you getting any sunshine\nSunshine, baby, sunshine, baby\nIt's love (baby love)\nWhen you're going down a shining path\nWith the needles of sunshine\nWeaving their way through the grass\nWhat you need is love (baby love)\nWhen you're tangled in a plastic dream\nBaby, turn on the fever\nAnd be a sun beamer with me\nAnd we're going in and out of it\nIn and out of it\nIn and out of the sun\nKeep going in and out of it\nIn and out of it\nIn and out of the sunshine\n(Sun, sunshine)\nAre you getting any sunshine\n(Sun, sunshine)\nAre you getting any sunshine\nSunshine, baby, sunshine, baby"
"Live Together, Die Alone",The Skyline Illusion,,75h57zShgPCAEeV3mowddN,0,2017-11-21,day,0.554,0.645,8,-12.672,1,0.0379,0.00468,0.857,0.0921,0.743,150.001,4,300826,
Want You To Know,Rotary Connection,,4aHcGoFLj0Jg5bc3g62KhU,21,2006-03-14,day,0.372,0.588,0,-7.731,1,0.0505,0.529,0.000123,0.649,0.261,110.976,4,182640,Want you to know\nYou made me happy\nWant you to know\nYou made me sad\nWant you to know\nYou made me happy\nYou are the best thing that I ever had\nWant you to know\nYou made me happy\nWant you to know\nYou made me sad\nWant you to know\nYou made me happy\nYou are the best thing that I ever had\nWant you to know\nYou made me happy\nWant you to know\nYou made me sad\nWant you to know\nYou made me happy\nYou are the best thing that I ever had\nWant you to know\nYou made me happy\nWant you to know\nYou made me sad\nWant you to know\nYou made me happy\nYou are the best thing that I ever had\nWant you to know\nYou made me happy\nWant you to know\nYou made me sad\nWant you to know\nYou made me happy\nYou are the best thing that I ever had\nWant you to know\nYou made me happy\nWant you to know\nYou made me sad\nWant you to know\nYou made me happy\nYou are the best thing that I ever had
Smile a Little Smile for Me (Originally Performed by the Flying Machine) [Karaoke Version],The Karaoke Channel,,4HJKklJ3lNuEUdepW4p5wS,0,2015-07-24,day,0.646,0.643,0,-7.354,1,0.0235,0.0976,0.0519,0.118,0.258,93.003,4,174346,"[Verse 1]\nYou really should accept\nThis time he's gone for good\nHe'll never come back now\nEven though he said he would\nSo darling, dry your eyes\nSo many other guys\nWould give the world I'm sure\nTo wear the shoes he wore\nOh, come on\n[Chorus]\nSmile a little smile for me, Rosemarie\nWhere's the use in cryin'?\nIn a little while you'll see, Rosemarie\nYou must keep on tryin'\nI know that he hurt you bad\nI know, darling, don't be sad and\nSmile a little smile for me, Rosemarie, Rosemarie\n[Verse 2]\nI guess you're lonely now\nLove's comin' to an end\nBut, darling, only now\nAre you free to start again?\nLift up your pretty chin\nDon't let those tears begin\nYou're a big girl now\nAnd you'll pull through somehow\nOh, come on\n[Chorus]\nSmile a little smile for me, Rosemarie\nWhere's the use in cryin'?\nIn a little while you'll see, Rosemarie\nYou must keep on tryin'\nI know that he hurt you bad\nI know, darling, don't be sad and\nSmile a little smile for me, Rosemarie, Rosemarie"
