song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Our Love Is Here To Stay,Dinah Washington,,5cxRemrNoI9DUqQxqd2sir,27,1953-01-01,day,0.321,0.141,0,-13.055,1,0.0537,0.917,0.000125,0.115,0.227,171.173,3,154933,"It's very clear, our love is here to stay\nNot for a year but 'ever and a day\nThe radio and the telephone, the crazy movies that we know\nMight just be passing fancies and in time may go\nBut oh, my dear, our love is here to stay\nTogether we're going, we're going a long, long way\nIn time the rockies may crumble, Gibraltar may tumble\nThey're only made of clay but our love is here to stay"
A Cross Stands Alone,Jimmy Witter,,,,,,,,,,,,,,,,,,,
Pick Me Up On Your Way Down,Pat Zill,,,,,,,,,,,,,,,,,,,
For Your Love,The Wanderers,,1S7KnbL73fmJibei7pKkLI,4,2016-09-30,day,0.434,0.553,3,-6.505,1,0.0276,0.91,8.61e-05,0.292,0.511,98.51,3,162440,
Apache,Jørgen Ingmann,,0FKNRNN2mcY9dBjenoxbeY,32,2007-10-30,day,0.644,0.492,9,-13.646,0,0.0468,0.894,0.922,0.117,0.248,129.089,4,175520,
Please Love Me Forever,Cathy Jean,The Roommates,4FsCwhDpGkBOKRtC4jLA0B,9,2020-11-20,day,0.58,0.395,1,-9.637,1,0.0261,0.909,0.000144,0.132,0.678,102.978,1,175733,"(Please love me)\n(Please!)\n(Please love me)\n(Please!)\nPlease love me forever\nDon't forget me ever\nJust listen to my plea\nPlease don't stop loving me\nYou're in my dreams nightly\nDon't take my love lightly\nBegging on bended knee\nPlease don't stop loving me\nOh, when I lay me down to sleep\nI pray the Lord your love I'll keep\nIf I should die before I wake\nI'll come back for you, that's no mistake\nOh, I'll love you forever\nCan't forget you ever\nOur love was meant to be\nPlease don't stop loving me\nI'll love you forever\nCan't forget you ever\nOur love was meant to be\nPlease don't stop loving me"
Foolin' Around,Kay Starr,,7wAzqU8jYiqjLSvaTsfPxR,8,1964-06-01,day,0.516,0.447,3,-10.501,1,0.0578,0.974,0.0,0.305,0.839,173.477,4,140733,I know that you've been foolin' around on me right from the start\nSo I'll give back your ring and I'll take back my heart\nAnd when you're tire of foolin' around with two or three\nJust come on home and fool around with me\nThen come on home and fool around with me\nWell I wasn't foolin' around the day I said I do\nBut many a night I wished that I had been a-foolin' too\nI know it's foolish taking all this misery\nBut when it's you a fool I'll always be\nSo honey fool around. You know right where I'm at\nAnd don't worry if I'm lonesome cause I'm used to that\nAnd when you're tire of foolin' around with two or three\nThen come on home and fool around with me\nI know that you've been foolin' around on me right from the start\nSo I'll give back your ring and I'll take back my heart\nAnd when you're tire of foolin' round with two or three\nJust come on home and fool around with me
African Waltz,Cannonball Adderley,,18kHtExguPBeBvPVXn5C9N,19,1961-02-28,day,0.41,0.777,10,-11.091,0,0.0383,0.497,0.926,0.199,0.861,95.337,4,132227,
Shy Away,Jerry Fuller,,6VJuteA7DupqLX842XZF5c,0,1962,year,0.626,0.45,2,-8.69,1,0.0642,0.752,0.0,0.0989,0.938,146.889,4,121920,
The Kissin' Game,Dion,,3T4obVwhuRZkhVUepaFMf4,15,2005-01-01,day,0.383,0.451,2,-8.626,1,0.0392,0.762,0.0,0.102,0.623,125.074,4,160827,"Every kiss I ever kissed you\nDarling, came from my heart\nBut your love was just a play\nAnd the things I heard you say\nWere all a part\nOf the kissing game\n(The kissing game)\nThe kissing game\n(The kissing game)\nYeah, the game, baby\nWhere you just played at love\nOh, you never really loved me\nThough you kissed me each night\nYou were looking for some fun\nAnd I guess just anyone\nTo hold you tight\nIn the kissing game\n(The kissing game)\nMmm, the kissing game\n(The kissing game)\nYeah, a game, baby\nWhere you just played at love"
In Between Tears,Lenny Miles,,15jedQZra2UBjZcd78gQu5,3,2013-09-01,day,0.703,0.556,11,-7.601,1,0.0326,0.756,0.0,0.0948,0.966,125.89,4,138053,
You're Gonna Need Magic,Roy Hamilton,,,,,,,,,,,,,,,,,,,
What Will I Tell My Heart,The Harptones,,4zlIDHZRhGoAmLiQ4kCSDU,7,2013-06-21,day,0.333,0.574,7,-4.976,1,0.0303,0.71,0.0,0.395,0.35,97.761,3,144733,
(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson,,,,,,,,,,,,,,,,,,,
Frogg No. 1,The Brothers Four,,3hJZU6pDU70unNVpThiVM6,16,1960-07-14,day,0.534,0.298,1,-16.544,1,0.123,0.806,1.94e-06,0.116,0.726,177.467,4,161533,"This is a story about a hip frog\nAnd we're gonna pick up on it now and\nHe's on his way out to do some shuckin' and jivin'\nYou'll be able to tell right away that he's a big mover\nFrogg went a-courtin' and he did go, un-huh\nFrogg went a-courtin' and he did go, un-huh\nFrogg went a-courtin' and he did go\nTo the Coconut Grove for the midnight show\nUn-huh un-huh un-huh\nMollie Mouse was the hat-check girl, woo-woo\n(spoken: he knew it all the time)\nMollie Mouse was the hat-check girl, woo-woo\nMollie Mouse was the hat-check girl\nHe thought he'd give this chick a whirl\nWoo-woo, woo-woo, woo-woo\nHe sauntered up to Mollie Mouse's side, un-huh\n(spoken: the direct approach)\nHe sauntered up to Mollie Mouse's side, un-huh\nWhen he got up to Mollie Mouse's side\nHe whispered ""Mollie will you be my bride?""\nUn-huh un-huh un-huh\nNot without my Uncle Rat's consent, uh-uh\n(spoken: her uncle wrestles on TV)\nNot without my Uncle Rat's consent, uh-uh\nNot without my Uncle Rat's consent\nI wouldn't marry the President\nUh-uh uh-uh uh-uh\nWell, she said ""That's it, Clyde, better hit the road, farewell""\n""That's it, Clyde, better hit the road, goodbye""\n""That's it, Clyde, better hit the road""\n""You ain't no frog you're a horned toad, farewell, goodbye, adios""\nFarewell, goodbye, adios"
Dedicated To The One I Love,The Shirelles,,4HdRMye6yPWOFrfLLM7W6b,47,2005,year,0.462,0.191,10,-11.901,1,0.0339,0.8,0.0,0.164,0.537,80.536,4,124187,This is dedicated to the one I love\nWhile I'm far away from you my baby\nI know it's hard for you my baby\nBecause it's hard for me my baby\nAnd the darkest hour is just before dawn\nEach night before you go to bed my baby\nWhisper a little prayer for me my baby\nAnd tell all the stars above\nThis is dedicated to the one I love\nLife can never be exactly like we want it to be\nI can be satisfied just knowing that you love me\nThere's one thing I want you to do especially for me\nAnd it's something that everybody needs\nEach night before you go to bed my baby\nWhisper a little prayer for me my baby\nAnd tell all the stars above\nThis is dedicated to the one I love\nThis is dedicated to the one I love
Surrender,Elvis Presley,,1aECQTfv5SO42lU4fvrdJJ,55,2022-02-18,day,0.454,0.666,3,-8.193,1,0.0379,0.758,2.89e-05,0.275,0.894,82.61,4,112227,"[Verse 1]\nWhen we kiss, my heart's on fire\nBurning with a strange desire\nAnd I know, each time I kiss you\nThat your heart's on fire too\n[Verse 2]\nSo, my darling, please surrender (surrender)\nAll your love so warm and tender (surrender)\nLet me hold you in my arms, dear\nWhile the moon shines bright above\n[Verse 3]\nAll the stars will tell the story\nOf our love and all its glory\nLet us take this night of magic\nAnd make it a night of love\n[Outro]\nWon't you please surrender to me (surrender)\nYour lips, your arms, your heart, dear (surrender)\nBe mine forever\nBe mine tonight"
