song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
I Don't Wanna See You,Michael Morales,,0liuMjkrEf7PkSWeOREgaj,5,1991-01-01,day,0.675,0.731,7,-9.782,1,0.0283,0.0259,0,0.05,0.724,124.865,4,247800,"I don't want to see you\nI  don't care cause it don't matter\nShe's  gone now, my heart ain't shattered\nWhen it's gone you gotta cut and run\nI met her at a drive in movie\nShe  had a kiss that felt so new to me\nI  couldn't find her if I wanted to\nNow at night I ain't dreamin\nWalls  closin in, my heart starts screaming\nI can't stop this running\nAnd I'm not listening to my head\nI don't want to see you No more\nI  don't want to even the score\nEver since you went away\nI've been stronger every day\nI don't want to call out your name\nI don't want to relive the pain\nAfter all that we've been through\nBaby, give me all of you or run away\nI get gone makes me better\nFor each mile I'll be forgetting her\nTill I look into the setting sun\nHer gold hair, she moves so slowly\nJust like a dream, she faded all away\nI wonder will she come away\nIf I go back, will I go crazy\nLeft thinking of my mixed up baby\nI can't stop the feeling that I've been so lost without her\nI don't want to see you No more\nI don't want to even the score\nEver since you went away\nI've been stronger every day\nI don't want to call out your name\nI don't want to relive the pain\nAfter all that we've been through\nBaby, give me all of you or run away"
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,The Basement Boys,1SShxVVBeZBCY7WddnksPz,65,1991-01-01,day,0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,4,451827,"[Verse 1]\nShe wakes up early every morning\nJust to do her hair, now\nBecause she cares, ya'll\nHer day, oh wouldn't be right\nWithout her makeup\nShe's never out of makeup\nShe's just like you and me\nBut she's homeless (she's homeless)\nAs she stands there singing for money\n[Chorus]\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\n[Verse 2]\nIn my sleep I see her begging\nPreaching: ""Please!""\nAlthough her body's not mine\nI ask, God why?  God why?\nShe's just like you and me\nBut she's homeless, she's homeless\nAs she stands there singing for money\n[Chorus]\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\n[Bridge]\nShe's just like you and me\nAs she stands there singing for money\n[Chorus]\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow\nLa da dee la dee dow, la da dee la dee dow"
Never Gonna Let You Down,Surface,,4V0s4tCAluvZWPEAIodihi,37,1986,year,0.56,0.363,3,-11.9,1,0.0307,0.55,0,0.205,0.186,124.45,4,227227,"We don't have to say good bye no no\nOur love will last forever girl\nForever I will love you\nForever I will be true\nForever I'll always be here right by your side\nAnd every morning I'll be there\nWhen you open your eyes\nChorus\nNever gonna let you down\nI'll always be around\nI'll be here for you\nBecause I love you\nNever gonna let you down\nI'll always be around\nI'll be here for you, I love you\nNever no never no never won't let you down\nWhenever you call my name\nIt sounds so good\nI wanna hear it over again\nYou'll never have to look around\nIf ever you need a friend\nI'll hold you and I'll give to you\nMy tender loving care\nChorus\nOh.. How I've waited for so long\nFor someone just like you\nTo give to me the love that I've been waiting for\nAnd yes, you took me by surprise\nOpened up my eyes\nNow I see and I know\nChorus"
My Body Says Yes,Titiyo,,0xmNtl2Ih0jomhIO993E9w,2,1991,year,0.751,0.558,7,-14.87,1,0.0486,0.00581,3.77e-05,0.3,0.88,113.365,4,249867,
Playground,Another Bad Creation,,1rJpT4AoSEMTngT6mSZw36,36,1991-02-11,day,0.788,0.772,1,-11.285,0,0.12,0.113,0,0.95,0.761,110.481,4,249773,"GA:\nYeah, boy. Another ABC card\nComin' from the playground\nTake it straight back to the bricks\nYo Chris, tell 'em where it is\nChris:\nChillin, cooler than a squeak, kickin' dirt on my sneakers\nSuckers on the corner lookin down at their beepers\nThey couldn't get a job or a nice home\nSo they wanna stay and wait for the pay-phone\nTake JoJo he's the youngest\nGirls jock him cuz he's reverse dressed\n?? strollin through the neighborhood\nSweatin' their brother tryin' to see why he's doin' good\n(sounds of sirens)\nRollin' through the park tryin' to make another hit\nLittle do they know that soldier's legit\nI'm not sayin this to put nobody down\nThis is what I see at the playground, ya know!\nGA:\nAwww yeah! Another ABC smash\nBut don't it make ya mad?\nUh, come on come on everybody\nAnd guess who's up next, kick it!\nDave:\nL-I-L D-A-V-E, 4 feet, shorty of the crew\nJust let me get on the mic and show you what I can do\nCold rockin' the microphone at home\n?? playin' under the phone\nLarge is how I'm livin', homes\nGroup:\nKick it D kick it D kick it\nPunch it D punch it D punch it\nSwing it D swing it D swing it\nDave:\nI swing my beats at the playground, ya know!\nGA:\nPut your hands in the air\nPut your hands in the air\nI don't wanna see nobody sittin' in their chair\nDo dat! Do dat! Yo Ro you up next!"
You Can't Play with My Yo-Yo (feat. Ice Cube),Yo-Yo,Ice Cube,7yFVwzeawvaoysd2fyCR8t,40,1991,year,0.739,0.758,9,-6.128,0,0.217,0.0999,0,0.0781,0.765,96.717,4,304667,
How Deep Is Your Love,Keith Sweat,,0KgbwF3wEBvPWPwwTLo9iR,48,1987,year,0.574,0.313,2,-14.227,1,0.0537,0.0526,4.76e-06,0.174,0.496,139.94,4,290800,[Incorrect lyrics entered by pressburg]
Wanna Dance,Yasmin,De Serious Cutshock,1tNg6ReTkA1YeUyKbODhSa,2,1991-01-01,day,0.56,0.722,9,-11.215,0,0.246,0.0503,0,0.0651,0.886,200.789,4,245600,"Na, na, na, na, na\nI wanna dance with you\nThere's no reason why\nWhy I shouldn't try and try\nI like to see you move\nIt makes me feel so right\nI can groove with you all night\nMmm\nFeels so perfect just tonight\nAnd I been searching\nSearching for a guy\nI wonder where you are\nGet up now\nGive this night a try\nDon't be cool\nForget it, baby\nLet's do something about it\nI just saw the way that you looked\nThere's no reason to hide it\nWe can do whatever we want\nWhy not just get started\nDon't be cool\nForget it, baby\nYou don't have to hide it\nI wanna dance with you\nThere's no reason why\nWhy I shouldn't try and try\n(Well, move it, move it)\nI like to see you move\nIt makes me feel so right\nI can groove with you all night\nMmm, feels so perfect\nIt's so right\n'Cause it's time now\nTo let our feelings flow\nGet up and lose control\nJust keep moving\nWhy not let it show?"
Love Desire,Sandee,,64xtbpPovuAlNheWuCtOww,7,2012-03-12,day,0.837,0.549,2,-12.576,1,0.0502,0.0819,0.0501,0.115,0.707,106.996,4,332493,Sometimes when\nA woman's with a man\nShe loses control\nOf her body and mind\nShe tries to hold on\nTo the morals that she knows\nBut nothing can hold back\nThat love desire\nWhen we met\nI thought you were cute\nAnd obviously\nYou knew you were fine\nYour arrogance\nJust filled the air\nI tried to hate you\nI didn't have time\nYou know that you're always on my mind\nI just can't control the way I feel about you\nYou're making me crazier day by day\nThis desire for love\n(Love desire)\nLove desire\n(Love desire)\nLove desire\n(Love desire)\nLove desire\n(Love desire)\nIt must have been\nThe confidence you had\nThat drew me near\nAnd attracted me to you\nYou didn't seem to care\nWhat anybody thought\nSo much ego\nJust turned me on\nI always can feel when you are near\nYour presence alone can mesmerize me\nYou're making me burn down deep inside\nMy desire for love
I Don't Wanna Cry,Mariah Carey,,1hFtJ5rV3aAm58ErijHdFO,45,1990-06-12,day,0.641,0.504,7,-12.486,1,0.031,0.197,9.62e-05,0.288,0.275,130.786,4,288827,"[Verse 1]\nOnce again we sit in silence\nAfter all is said and done\nOnly emptiness inside us\nBaby, look what we've become\nWe can make a million promises\nBut we still won't change\nIt isn't right to stay together\nWhen you only bring each other pain\n[Chorus]\nI don't wanna cry\nDon't wanna cry\nNothing in the world\nCould take us back\nTo where we used to be\nThough I've given you my heart and soul\n(Given you my heart and soul)\nI must find a way of letting go\n'Cause baby, I don't wanna cry\nI don't wanna cry\n[Verse 2]\nToo far apart to bridge the distance\nBut something keeps us hanging on and on\nPretending not to know the difference\nDenying what we had is gone\nEvery moment we're together\nIt's just breaking me down\nI know we swore it was forever\nBut it hurts too much to stay around\n[Chorus]\nI don't wanna cry\nDon't wanna cry\nNothing in the world\nCould take us back\nTo where we used to be\nThough I've given you my heart and soul\n(Given you my heart and soul)\nI must find a way of letting go\n'Cause baby, I don't wanna cry\nI don't wanna cry, no no\n[Bridge]\nAll the magic's gone\nThere's just a shadow of a memory\nSomething just went wrong\nWe can't go on make-believing\nOn make-believing"
